Year,variable,raw_mean_high_megafauna,error_high_megafauna,n_high_megafauna,raw_mean_low_megafauna,error_low_megafauna,n_low_megafauna
2017,All Arachnids,201.125,64.6958543604501,8,180.083333333333,113.049834814188,12
2018,All Arachnids,189.666666666667,137.022139330353,8,197.416666666667,101.953160665557,12
2017,All Orthopterans,29.375,19.7624282776326,8,10.6666666666667,9.613752775282,12
2018,All Orthopterans,42.1666666666667,37.5148859343417,8,8.16666666666667,3.51188458428425,12
2017,Ants,168.625,97.1183924025575,8,210.916666666667,104.686943123802,12
2017,Crickets,19.125,16.805080014261,8,6.58333333333333,7.20427061898116,12
2017,Dung Beetles,384.375,193.467559111525,8,249.083333333333,87.0563645350563,12
2018,Dung Beetles,1309.16666666667,465.537288159248,8,508,355.210053092789,12
2017,Grasshoppers,10.25,7.22594531630884,8,4.08333333333333,4.90747728811182,12
2017,Ground Beetles,189.375,233.956612277942,8,67.4166666666667,54.2409746716754,12
2018,Ground Beetles,213.333333333333,172.990943886282,8,57.4166666666667,33.0521855509885,12
2017,Harvestmen,19.75,18.7673729039066,8,20.75,12.913171570145,12
2017,Isopods,294,765.374044877032,8,85.4166666666667,97.9410382306465,12
2018,Isopods,51.8333333333333,75.1675905338642,8,115.166666666667,159.045924375968,12
2017,Millipedes,25.125,31.1422427855523,8,18.3333333333333,25.4284498270355,12
2018,Millipedes,16.5,19.4293592277255,8,14.3333333333333,28.175854696509,12
2017,Other Beetles,193.125,63.3210357734977,8,161.083333333333,68.3499794950203,12
2018,Other Beetles,517.166666666667,313.091946026509,8,185.5,103.956721764396,12
2017,Rove Beetles,70.625,57.1612693550949,8,60.9166666666667,35.9961066918312,12
2017,Slugs and Snails,31.5,37.6563407675255,8,19.4166666666667,18.975861860093,12
2018,Slugs and Snails,2.33333333333333,3.8815804341359,8,1.33333333333333,1.9227505550564,12
2017,Spiders,181.375,53.3825479775125,8,159.333333333333,109.440173223326,12
2017,True Bugs,28.625,27.1237244598051,8,21.1666666666667,14.2179996888281,12
2018,True Bugs,14.3333333333333,12.0111059718357,8,17.25,7.27542563578367,12
